sentence_id,author,date,full_sentence
id270397,LEMONDE,1992-12-22,"Baisse des  prix en Grande-Bretagne Grande - Bretagne : en novembre , les prix ont baissé de 0,1 0 , 1 % , annonce l' office des  statistiques le 11 décembre ."
id249390,ROCHE MARC,1992-07-07,"Signe des 
 temps : la très britannique banqued'affaires banque d' affaires et de marché vient d' acheter un siège à la Bourse de Paris ."
id225222,BOSTNAVARON FRANCOIS,1992-01-06,"Comme le déplore le quotidienfinancier quotidien financier , on est bien loin des  quatre-vingt-deux quatre - vingt - deux admissions enregistrées au  cours de l' année 1987 ."
id226149,GRELLET GERARD,1992-01-14,"La montée de la famine ( vingt millions d' Africains dépendent aujourd'hui aujourd' hui de l' aidealimentaire aide alimentaire ) , la tragédie du  sida , l' absence de règlement du  problème des  réfugiés , rendent aujourd'hui aujourd' hui nécessaire une augmentation de l' aide humanitaire ."
1105,FABRA PAUL,1990-01-13,"Il est vrai , si l'on en croit le rapport Delors que c' est un organisme du  même genre que l'on veut créer au  bénéfice de l' Europe toutentière tout entière ."
id270348,TUQUOI JEAN PIERRE,1992-12-22,Un pays se détache du  lot : le Royaume-Uni Royaume - Uni ( 874 kg en 1991 ) .
id270506,LEMONDE,1992-12-23,"Grâceà Grâce à ces mesures , les intervenants espèrent enfin revoir l' économie repartir ."
id271321,"LAZARE FRANCOISE,IZRAELEWICZ ERIK",1992-12-30,"A 8h15 , la BanquedeFrance Banque de France annoncera le relèvement du  taux de ses prisesenpension prises en pension ."
id293362,RICHES VERONIQUE,1993-06-08,elles représentent globalement les deux cinquièmes des  débouchés communautaires ( àraisonde à raison de 17 % pour la France et 23 % pour l' Allemagne ) et sont respectivement les premiers fournisseurs de chacun des  pays de la zone .
1068,FRAPPAT BRUNO,1990-01-15,"Le ruban est large , le devant pique du  nez , mais point trop ."
910,BRESSON HENRI DE,1990-01-16,"Quatrecentcinquante Quatre cent cinquante délégués représentaient les quinze districts territoriaux de l' Allemagnedel'Est Allemagne de l' Est et on annonçait fièrement que le jeune parti-social-démocrate parti - social - démocrate de l' est comptait déjà trente-cinqmille trente - cinq mille membres , avec une tendance ascendante ."
id293395,VERNHOLES ALAIN,1993-06-09,"La stagflation combine stagnation et inflation , combinaison assez paradoxale puisque de fortes haussesdeprix hausses de prix caractérisent généralement les économies en surchauffe ."
id249473,LEMONDE,1992-07-07,"Paris : rencontre organisée par le CNPF entre le présidentdelaRépublique président de la République du  Chili , Patricio Aylwin , et une délégation de chefsd'entreprise chefs d' entreprise français ."
id271551,MONNOT CAROLINE,1993-01-02,Le second argument invoqué par les firmes américaines concerne directement l' offre de ZDS .
491,MENANTEAU JEAN,1990-01-19,"Connaissance et appréciation des  hommes , mais aussi du  monde des  transports : "" qu' il s' agisse d' avions ou d' un système de transport ferroviaire dans un tunnel , l' approche reste la même au  plan commercial "" , affirme sans crainte du  paradoxe apparent Nicolas Gorodiche , qui a introduit entre Paris et Londres huit liaisons aériennes nouvelles ."
id292573,BAUDET MARIE BEATRICE,1993-06-02,""" Nous devons fairefeudetoutbois faire feu de tout bois "" , insiste Suzanne Hunkuler , directrice de la mission locale , qui compte 659 nouveaux inscrits chaque année ."
id249517,THIS JEAN LOUIS,1992-07-07,Elle a plus de quatrecents quatre cents ans .
id271907,BANUS TUDOR,1993-01-05,""" DOC : AVEC UN DESSIN TUDOR BANUS"
id249519,THIS JEAN LOUIS,1992-07-07,"Cinq jeunes entrepreneurs reprennent néanmoins le flambeau , ne pouvant pas se résoudre à voir disparaître l' activité légendaire de leur ville ."
id271323,TUQUOI JEAN PIERRE,1992-12-30,"Même si l'on faitabstraction fait abstraction du  secteur des  hydrocarbures , le boom des  économies régionales est indéniable ."
id293422,MAGNAN FREDERIC,1993-06-08,Nous n' avons pas de vrais designers .
id271911,KREMER PASCALE,1993-01-05,VIGILANCE Quelques fabricants semblent également fairepreuve faire preuve de bonnevolonté bonne volonté .
id271923,MARIS BERNARD,1993-01-05,"Enjeu et langage de négociation , la micro- économie est aujourd'hui aujourd' hui irremplaçable ."
id225555,COJEAN ANNICK,1992-01-09,Où s' arrête le programme et où commence la pub lorsqu' une marque de jouet parraine l' émission qui le met envaleur en valeur ?
id292857,MONNOT CAROLINE,1993-06-04,"La plupart des  multinationales , pour des raisons de commodité et de coûts , souhaitent , eneffet en effet , pouvoir bénéficier de leur propre réseau privé pour les liaisons téléphoniques , mais aussi les échanges de données informatiques et transmissions de tous types ."
