"","Reference","Left","KWIC","Right"
"1",",2018-11-13,",", mais environ 90 000 personnes chargées de l'' accompagnement des personnes en situation de handicap, dont une partie","est en contrat aidé",". Nous souhaiterions qu'' il s'' agisse de 80 000 AESH, mais la situation est telle... Vous avez voulu que nous allions au"
"2","PA719338,2019-12-11,Melchior, Graziella","avec les associations d'' aide alimentaire. De nombreux commerces de plus petite taille, dont les artisans de bouche,","sont déjà engagés","dans une démarche de don alimentaire, mais uniquement sur la base du volontariat. L'' amendement vise donc à imposer la"
"3","PA722142,2018-02-01,Ruffin, François",", je vous vire. "" Ce management mortifère peut avancer tel un rouleau compresseur aveugle : il n'' est pas puni ; il n''","est pas sanctionné","; il ne paie pas le prix des hommes qu'' il écrase. Pire , il jouit de la complicité des pouvoirs publics, du moins de leur"
"4","PA331582,2018-01-18,Vigier, Philippe","cela s'' appelle un dépassement d'' honoraires. Les actes réalisés par un biologiste – je parle en connaissance de cause –","sont -ils remboursés","s'' ils ne sont pas accrédités ? La réponse est non. Cessons donc de brandir l'' argument du conventionnement partiel :"
"5","PA722366,2019-09-10,Fugit, Jean-Luc","aux nouvelles perspectives. C '' est enfin avoir conscience que les plus modestes de nos concitoyens auront besoin d''","être aidés","pour aller vers des mobilités plus propres et plus actives. Nous devons donc comprendre le réel, mais sans oublier l''"
"6","PA335054,2018-11-19,Karamanli, Marietta","l'' engagement de la procédure accélérée. Sous l'' actuelle législature, débutée en juin 2017, plus de 50 % des textes","sont examinés","selon cette procédure. Or, comme le disait l'' éminent Guy Carcassonne , "" pour faire de bonnes lois, on n'' a pas encore"
"7","PA759830,2019-11-26,Wargon, Emmanuelle",", monsieur le député. Les transports ont effectivement une forte responsabilité dans ce phénomène, et nous nous","sommes engagés","à accompagner la mise en place de zones à faibles émissions, notamment dans le territoire d'' Aix-Marseille . L'' un des"
"8","PA267785,2018-04-22,Larrivé, Guillaume","avec votre intention d'' examiner les demandes en six mois, monsieur le ministre d'' État . Si la demande d'' asile","est examinée","en six mois et que, par hypothèse, dans 70 % des cas elle aboutit à un rejet, cela veut dire que vous aurez, en réalité,"
"9","PA405480,2019-03-12,Pupponi, François","Pupponi , que je sache, vous n'' êtes pas élu en Corse . Vous allez donc laisser les élus de Corse décider de leur sort. Je","suis élu","de la nation ! Mais oui, bien sûr. Ce que je dis est clair : il faut laisser les deux préfets et les élus locaux décider de l''"
"10","PA721210,2018-02-01,Corbière, Alexis","le seul horizon de vie pour le patient est la mort dans la souffrance, on peut dire, d'' une certaine manière, que la vie s''","est arrêtée",", bien que le cœur n'' ait pas cessé de battre. Cette perception d'' une vie à l'' arrêt, seul le patient peut la ressentir, à l''"
"11","PA2150,2017-10-20,Mélenchon, Jean-Luc","politique. C '' est évidemment à l'' élu ou au ministre d'' assumer pleinement les décisions politiques qui","sont prises",". À condition, toutefois, de savoir. Or vous ne nous dites rien sur ce point, monsieur le ministre. Durant cinq ans, a -t -"
"12","PA720878,2019-10-30,Saint-Martin, Laurent","de leurs réseaux. Le projet de budget pour 2020 prolonge cette dynamique. Les grands projets de transformation","seront poursuivis","et amplifiés. La direction générale des finances publiques continuera la mise en œuvre de la réforme territoriale"
"13","PA720798,2020-05-26,Aliot, Louis","proposition de loi ne doit pas donner lieu à polémique et beaucoup ont été surpris et indignés de la manière dont avait","été traitée",", en première lecture, cette question particulièrement sensible, tant il est vrai qu'' on ne pouvait pas faire passer l''"
"14","PA610654,2019-10-24,Nilor, Jean-Philippe","100 % ? Les bénéfices restent importants, quand de telles marges sont taxées à 20 %. C '' est une question de fond, qui doit","être traitée",". Un règlement ou une législation doivent permettre de lutter contre la "" profitation "", c''est-à-dire la fixation de"
"15","PA720870,2017-07-26,Mbaye, Jean François","aux collègues situés à ma gauche et à ma droite à tous mes collègues, de bien vouloir respecter ce pourquoi nous avons","été élus",", ce pourquoi nous devons travailler. Cela fait des semaines, des jours et des nuits que nous passons dans cet hémicycle"
"16",",2017-07-13,",". Quel est l'' avis du Gouvernement ? Vous soulevez une vraie question. Nous avons besoin de médecins du travail – c''","est une spécialité reconnue","par la médecine et évaluée en fonction d'' un contexte, de conditions et de situations de travail. Tout le monde ne peut"
"17","PA337633,2019-01-15,Girardin, Annick",", nous avons aussi annoncé plusieurs mesures dans le cadre du Livre bleu . La ministre du travail, Muriel Pénicaud , s''","est engagée","à financer à hauteur de 253 millions d'' euros, à La Réunion , le programme d'' investissements dans les compétences. Il"
"18","PA718838,2019-09-10,Brun, Fabrice","de l'' environnement, de l'' aménagement et du logement – sur la route nationale 102, sans que ces signalements aient","été suivis","d'' aucune initiative politique. Comme souvent ! Je le rappelle, il s'' agit de la seule route nationale dans un"
"19","PA721202,2019-03-05,Coquerel, Éric","ne se comptent plus pour déloger les grévistes. Mais dans votre système c'' est toujours Gaël le coupable. C '' est lui qui","est poursuivi","au tribunal, c'' est lui qui est sous le coup d'' un licenciement malgré l'' avis inverse de l'' inspecteur du travail. Sans"
