Reference,Left,KWIC,Right
"PA-103769,2017-07-03,Macron, Emmanuel",je ne reviendrai pas. Les engagements seront tenus. Les réformes et ces transformations profondes auxquelles je me,suis engagé,"seront conduites. Le Premier ministre , Édouard Philippe , que j'' ai nommé afin qu'' il soit le dépositaire, à la tête du"
"PA-103769,2017-07-03,Macron, Emmanuel",je ne reviendrai pas. Les engagements seront tenus. Les réformes et ces transformations profondes auxquelles je me,suis engagé seront conduites,". Le Premier ministre , Édouard Philippe , que j'' ai nommé afin qu'' il soit le dépositaire, à la tête du Gouvernement , de"
"PA-103769,2017-07-03,Macron, Emmanuel",", les menaces n'' ont jamais été si grandes, et l'' ordre multilatéral est sans doute plus fragilisé qu'' il ne l'' a jamais","été, divisé, bousculé",", alors qu'' il est plus que jamais nécessaire. Dans les années à venir, le rôle de la France sera de défendre la sécurité, l"
"PA608826,2017-07-03,Duby-Muller, Virginie",pas la face : aucun des questeurs élus à l'' Assemblée nationale ne représente un groupe de l'' opposition. Tous ont,été élus,avec le soutien direct ou indirect du groupe La République en marche . Tous ont annoncé publiquement qu'' ils voteraient
"PA608826,2017-07-03,Duby-Muller, Virginie",""" constructif "", très à la mode, n'' est pas l'' apanage de certains députés. Il nous concerne tous constamment. Ayant",été élus,"comme représentants de la nation, comment pourrions - nous ne pas être constructifs ? Alors oui, nous serons au rendez -"
"PA719938,2017-07-03,Fesneau, Marc",payer de mots que de considérer votre action comme porteuse d'' une nouvelle ambition pour la France . La voix de la France,est attendue et écoutée,", et nous nous réjouissons qu'' elle soit celle de la tolérance, du dialogue, de l'' ouverture, de l'' idéal de liberté, de"
"PA609332,2017-07-03,Faure, Olivier","le temps nécessaire aux délibérations parlementaires, sollicitez la société civile, qui n'' est pas un sésame pour",être élu,"mais une source à laquelle puiser les solutions pour demain. Comme le disait Michel Rocard , ce qui est accepté a"
"PA609332,2017-07-03,Faure, Olivier","sésame pour être élu mais une source à laquelle puiser les solutions pour demain. Comme le disait Michel Rocard , ce qui",est accepté,a infiniment plus de force que ce qui est imposé. Tous les débats n'' ont pas été tranchés avec votre élection ; ils restent
"PA609332,2017-07-03,Faure, Olivier",", patrimoine de ceux qui n'' ont rien – mais qui ne sont pas rien –, vous rencontrerez notre ferme opposition. Vous vous",êtes engagé,à faire entrer la politique dans une nouvelle ère et la France dans un nouveau monde. Nous vous jugerons donc sur vos
"PA-104709,2017-07-03,Barbier, Gilbert","politique nécessaire au bon exercice de la démocratie. Pendant sa campagne, le Président de la République s''",est engagé,", s'' il était élu, à introduire une dose de proportionnelle. On aurait souhaité savoir quel sera le calendrier de cette"
"PA-104709,2017-07-03,Barbier, Gilbert","nécessaire au bon exercice de la démocratie. Pendant sa campagne, le Président de la République s'' est engagé, s'' il",était élu,", à introduire une dose de proportionnelle. On aurait souhaité savoir quel sera le calendrier de cette réforme. Le"
"PA-105779,2017-07-03,Adnot, Philippe","elle exigera des efforts de toutes les composantes de notre société. Ces efforts sont et seront nécessaires mais, pour",être compris,"et acceptés, ils devront être justes et efficaces. Il faudra donc éviter les contradictions et mettre fin à la frénésie"
"PA-105779,2017-07-03,Adnot, Philippe","elle exigera des efforts de toutes les composantes de notre société. Ces efforts sont et seront nécessaires mais, pour",être compris et acceptés,", ils devront être justes et efficaces. Il faudra donc éviter les contradictions et mettre fin à la frénésie normative"
"PA345619,2017-07-04,Philippe, Édouard",", la liberté de pratiquer un culte ou de n'' en suivre aucun. Le Gouvernement n'' acceptera pas que ce principe fondateur",soit attaqué,", remis en cause ou instrumentalisé. Il le fera respecter sans outrance, en se gardant de provoquer, mais avec une"
"PA345619,2017-07-04,Philippe, Édouard",", la liberté de pratiquer un culte ou de n'' en suivre aucun. Le Gouvernement n'' acceptera pas que ce principe fondateur","soit attaqué , remis","en cause ou instrumentalisé. Il le fera respecter sans outrance, en se gardant de provoquer, mais avec une fermeté qui"
"PA345619,2017-07-04,Philippe, Édouard","au service de notre liberté. Je veux leur dire, à tous, que nous leur donnerons les moyens de nous défendre. Comme s'' y",est engagé,"le Président de la République , une loi de programmation militaire sera adoptée dès 2018. Elle portera l'' effort de"
"PA267241,2017-07-04,Demilly, Stéphane","élus politiques ont le devoir de savoir, de comprendre et de dire la vérité à leurs concitoyens, dans la mesure où ils ont",été élus,pour les représenter. La clef du redressement sera d'' abord un constat partagé. Pierre Mendès France le disait très
"PA722202,2017-07-04,Jumel, Sébastien",d'' organiser une conférence des territoires n'' a de sens que s'' il se débarrasse de l'' étau d'' austérité et s'' il,est accompagné,"dans chacun de nos territoires d'' un moratoire préservant nos services publics de proximité. De ce point de vue, nous"
"PA563,2017-07-04,Bompard, Jacques","du bien commun. Le réel aujourd''hui, c'' est la crise de l'' ensemble des organes constitutifs de notre société. L'' homme",est attaqué,"dans sa définition, la famille dans son intégrité, la société dans son unité, la nation dans son homogénéité et sa"
"PA605036,2017-07-05,Abad, Damien","des Français , nous, Les Républicains , voulons incarner une opposition libre et responsable. Libre, car nous avons",été élus,"sans avoir eu besoin de faire allégeance au Gouvernement . Responsable, car nous voterons les lois qui iront dans l''"
"PA605036,2017-07-05,Abad, Damien","des Français , nous, Les Républicains , voulons incarner une opposition libre et responsable. Libre, car nous avons",été élus sans avoir eu,"besoin de faire allégeance au Gouvernement . Responsable, car nous voterons les lois qui iront dans l'' intérêt de la"
"PA331481,2017-07-05,Le Maire, Bruno","ne devons nous bercer d'' illusions : non, tous les salariés ne seront pas gardés à La Souterraine , mais chaque salarié",sera accompagné,afin qu'' il puisse se reconvertir et retrouver un emploi. Les collectivités locales et la région se sont elles aussi
"PA906,2017-07-05,Collomb, Gérard",. J '' ai également eu à me rendre devant Notre-Dame de Paris afin de réconforter les policiers qui y avaient,été attaqués,". Nous avons par ailleurs été témoins, il y a deux semaines, d'' une tentative d'' attentat sur les Champs-Élysées qui, si"
"PA331481,2017-07-05,Le Maire, Bruno",grève ! Nous faisons pression sur Peugeot afin que le groupe confirme à son tour son investissement. L '' État lui-même s'',est engagé,à hauteur de 5 millions d'' euros afin d'' augmenter les investissements sur le site industriel et de garantir sa
",2017-07-05,","France ? Oui , monsieur le député, vous l'' avez dit, la rénovation du modèle social français est urgente – et cela",est compris,"par une grande partie de cette assemblée –, pour les raisons que vous avez évoquées. Dans la feuille de route de mon"
"PA720996,2017-07-05,El Guerrab, M''jid",avez apporté le soutien de la France à cette nouvelle organisation régionale dans la lutte contre le terrorisme. Je,suis élu,"d'' une circonscription située aux avant-postes dans ce combat, d'' un territoire qui regroupe l'' Afrique du Nord et l''"
"PA906,2017-07-06,Collomb, Gérard",d'' attentats sans précédent dans son histoire : 239 personnes ont perdu la vie au cours de huit attaques ; 900 autres ont,été blessées,", dont certaines se battent pour retrouver une existence normale. Le Premier ministre l'' a souligné mardi à cette"
"PA906,2017-07-06,Collomb, Gérard","attentats perpétrés dans les pays voisins. Je pense à l'' Allemagne , où le marché de Berlin et la gare de Düsseldorf ont",été attaqués,"cet hiver. Je pense également à la Suède , endeuillée par l'' attentat de Stockholm , et à la Russie , qui a été marquée par l''"
"PA719202,2017-07-06,Paris, Didier","exceptionnels doit avoir, selon la formule du Conseil d'' État , des effets limités dans le temps et dans l'' espace. Il a",été accompagné,", dès sa mise en œuvre en 2015, par l'' institution d'' un contrôle parlementaire, que nous avons opéré à de nombreuses"
"PA719202,2017-07-06,Paris, Didier",juridiques ou de vides opérationnels. Aucune rupture dans la protection de nos concitoyens ou de notre sol ne saurait,être acceptée,". Cependant, la protection des libertés individuelles suppose, en même temps, de transférer en droit commun certains"
"PA720430,2017-07-06,Bernalicis, Ugo",", tout d'' abord, que vous connaissez sans doute, ancien juge antiterroriste désormais à Lille – comme moi, du reste, qui",suis élu,"de la deuxième circonscription du Nord –, déclarait : "" l'' état d'' urgence, c'' est débile "". "" Les flopées de"
"PA330240,2017-07-06,Ciotti, Éric","d'' enquête que j'' ai présidée après que des attentats ont frappé notre pays au début du mois de janvier 2015. Oui, nous",sommes engagés,"sur ce long chemin tragique. Vous l'' avez dit, et il faut avoir le courage et la lucidité de dire cette vérité : de nouveaux"
"PA720704,2017-07-06,Vichnievsky, Laurence",policiers. Nous avons tous déjà insisté sur ce point et je veux m'' associer aux hommages qui ont été rendus. Un policier a,été assassiné,"sur les Champs-Élysées le 20 avril et un terroriste a percuté, avec son véhicule, un fourgon de gendarmerie le 19 juin."
"PA721270,2017-07-06,Peu, Stéphane",", depuis les terribles attentats du 13 novembre 2015 à Paris et aux abords du Stade de France à Saint-Denis , ville où je",suis élu,", notre pays vit sous le régime de l'' état d'' urgence. Si nous avions approuvé, à l'' époque, dans un contexte inédit, la"
"PA335054,2017-07-06,Karamanli, Marietta",l'' état d'' urgence constitue une réponse inadaptée. Enfin je rappelle que chaque loi prolongeant l'' état d'' urgence a,été accompagnée,de dispositions nouvelles visant à étendre le champ des mesures pouvant être ordonnées par le ministère de l''
"PA606212,2017-07-06,Collard, Gilbert",jour où l'' on rend des comptes aux électeurs et où il faut leur expliquer ses décisions. Il est vrai que nos policiers ont,été agressés,"pendant l'' état d'' urgence, que des dégradations ont été commises et que des attentats ont eu lieu, mais qui d'' entre nous"
"PA720454,2017-07-06,Houbron, Dimitri",! Je vois un pays splendide et un peuple de génie résister à cet abîme ; je vois les êtres pour lesquels nous nous,sommes engagés,", apaisés, déterminés et libres. Ce que nous allons accomplir aujourd''hui est bien meilleur que tous nos actes passés."
"PA720454,2017-07-06,Houbron, Dimitri",! Je vois un pays splendide et un peuple de génie résister à cet abîme ; je vois les êtres pour lesquels nous nous,"sommes engagés , apaisés",", déterminés et libres. Ce que nous allons accomplir aujourd''hui est bien meilleur que tous nos actes passés. La"
"PA720454,2017-07-06,Houbron, Dimitri",! Je vois un pays splendide et un peuple de génie résister à cet abîme ; je vois les êtres pour lesquels nous nous,"sommes engagés , apaisés, déterminés",et libres. Ce que nous allons accomplir aujourd''hui est bien meilleur que tous nos actes passés. La discussion
"PA721960,2017-07-06,Obono, Danièle","responsables si un nouvel attentat a lieu, car nous sommes tous et toutes des responsables politiques ; nous avons",été élus,"pour prendre en charge, discuter, débattre et assumer la responsabilité de ce qui se passe aujourd''hui. Quel rapport"
"PA2150,2017-07-06,Mélenchon, Jean-Luc",? Et nous avons vaincu. Outre l'' argument de l'' efficacité invoqué par nos deux collègues – l'' un suggérant que les moyens,soient contrôlés,"autant que les opérations elles-mêmes –, nous grandirions notre démocratie en montrant qu'' elle est capable de"
