Reference,Left,KWIC,Right
"PA-103769,2017-07-03,Macron, Emmanuel","bonne. Ce n'' est pas d'' épouser toutes les modes du temps. C '' est, à chaque moment, pas après pas, de discerner ce qui","doit être corrigé, amendé, rectifié",", ce qui, à certains endroits, doit être plus profondément refondé, ce qui manque à la société pour devenir plus juste et"
"PA-103769,2017-07-03,Macron, Emmanuel",ne reviendrai pas. Les engagements seront tenus. Les réformes et ces transformations profondes auxquelles je me suis,engagé seront conduites,". Le Premier ministre , Édouard Philippe , que j'' ai nommé afin qu'' il soit le dépositaire, à la tête du Gouvernement , de"
"PA-103769,2017-07-03,Macron, Emmanuel",. Je proposerai ainsi que le Parlement soit élu avec une dose de proportionnelle pour que toutes les sensibilités,y soient justement représentées,. C '' est à cette même fin que nous limiterons le cumul des mandats dans le temps pour les parlementaires. Il s'' agit là de la
"PA-103769,2017-07-03,Macron, Emmanuel","temps qu'' elle protège sa propre sécurité et ses valeurs, la souveraineté des peuples. Mais partout où les libertés",ne sont pas respectées,"nous œuvrerons, à travers notre diplomatie et nos actions de développement, afin d'' aider les minorités ; nous"
"PA608826,2017-07-03,Duby-Muller, Virginie",un recul démocratique majeur. Il deviendrait aussi très difficile de sanctionner son député dans les urnes car les,chefs seraient toujours réélus,". Nous refusons donc de créer une assemblée hors sol, où des apparatchiks déconnectés des territoires prendraient le"
"PA608826,2017-07-03,Duby-Muller, Virginie",". Nous avons des propositions fortes et demandons à être entendus. Pour que la nation ait un sens, il faut qu''","elle soit incarnée, représentée","dans toute sa diversité. Monsieur le Premier ministre , l'' abstention a été la grande gagnante des dernières élections"
"PA-106189,2017-07-03,Capo-Canellas, Vincent",", sera également déterminante. Nous serons également vigilants s'' agissant du climat. Les engagements pris à la COP21",doivent être respectés,". La France a une responsabilité particulière : à la suite de Jean-Louis Borloo , nous pensons qu'' elle doit être"
"PA609332,2017-07-03,Faure, Olivier","publics, patrimoine de ceux qui n'' ont rien – mais qui ne sont pas rien –, vous rencontrerez notre ferme opposition. Vous",vous êtes engagé,à faire entrer la politique dans une nouvelle ère et la France dans un nouveau monde. Nous vous jugerons donc sur vos
"PA-104709,2017-07-03,Barbier, Gilbert","équilibre politique nécessaire au bon exercice de la démocratie. Pendant sa campagne, le Président de la République s",'' est engagé,", s'' il était élu, à introduire une dose de proportionnelle. On aurait souhaité savoir quel sera le calendrier de cette"
"PA345619,2017-07-04,Philippe, Édouard","au service de notre liberté. Je veux leur dire, à tous, que nous leur donnerons les moyens de nous défendre. Comme s''",y est engagé,"le Président de la République , une loi de programmation militaire sera adoptée dès 2018. Elle portera l'' effort de"
"PA606171,2017-07-04,Ferrand, Richard","d'' une connaissance réelle des attentes de nos concitoyens Mais, comme sur tous les bancs, les membres de notre",majorité sont par-dessus tout des citoyens engagés,", partageant des valeurs et forts d'' un projet commun. Ils sont toutes et tous prêts à se retrousser les manches pour"
"PA606171,2017-07-04,Ferrand, Richard",", conjuguée avec une limitation dans le temps du cumul des mandats, permettra à la pluralité des opinions d",'' être mieux représentée,et élargira l'' accès aux fonctions électives. Mais le renouvellement n'' est pas une finalité en soi. L'' enjeu est de
"PA267241,2017-07-04,Demilly, Stéphane","disait : "" Nul gouvernement ne peut être longtemps solide sans une redoutable opposition "". Cette opposition doit",donc être respectée,"– ce que l'' on oublie parfois quand il y a une majorité très large – mais elle doit aussi, pour être profitable au pays, être"
"PA722202,2017-07-04,Jumel, Sébastien",", ne pas être assigné à sa caisse de grande surface le dimanche, ne pas être traitée d'' illettrée quand on est ouvrière",", être tout simplement respecté",", y compris dans ses difficultés de vie. Monsieur le Premier ministre , chers collègues, on n'' est pas rien quand on ne"
",2017-07-05,","délit d'' entrave à l'' IVG, voire attaquaient ce droit, en parlant d'' "" IVG de confort "" et en invitant à ce que l'' avortement",ne soit plus remboursé,". C '' est pourquoi il est primordial de rappeler, encore en 2017, que la loi garantit le droit à l'' IVG, que la République"
"PA721202,2017-07-05,Coquerel, Éric",", je vous le rappelle, l'' un des plus pauvres de la République . C '' est d'' autant plus indécent que la responsabilité de l''",État est clairement engagée,. Au cours des huit mois de lutte de ces salariés ont en effet été révélés tous les effets destructeurs du capitalisme
"PA331481,2017-07-05,Le Maire, Bruno",grève ! Nous faisons pression sur Peugeot afin que le groupe confirme à son tour son investissement. L '' État lui-même s,'' est engagé,à hauteur de 5 millions d'' euros afin d'' augmenter les investissements sur le site industriel et de garantir sa
