Reference,Left,KWIC,Right
"PA-103769,2017-07-03,Macron, Emmanuel",", les menaces n'' ont jamais été si grandes, et l'' ordre multilatéral est sans doute plus fragilisé qu'' il ne l'' a jamais","été, divisé, bousculé",", alors qu'' il est plus que jamais nécessaire. Dans les années à venir, le rôle de la France sera de défendre la sécurité, l"
"PA-103769,2017-07-03,Macron, Emmanuel","valeurs libérales, sur nos libertés, une économie de marché qui permettait le progrès des classes moyennes. Tout cela",est aujourd''hui profondément bousculé,", transformé, menacé. Des régimes autoritaires réussissent dans l'' économie de marché, tandis que des démocraties,"
"PA-103769,2017-07-03,Macron, Emmanuel","valeurs libérales, sur nos libertés, une économie de marché qui permettait le progrès des classes moyennes. Tout cela","est aujourd''hui profondément bousculé , transformé",", menacé. Des régimes autoritaires réussissent dans l'' économie de marché, tandis que des démocraties, que nous"
"PA608826,2017-07-03,Duby-Muller, Virginie",pas la face : aucun des questeurs élus à l'' Assemblée nationale ne représente un groupe de l'' opposition. Tous ont,été élus,avec le soutien direct ou indirect du groupe La République en marche . Tous ont annoncé publiquement qu'' ils voteraient
"PA608826,2017-07-03,Duby-Muller, Virginie",""" constructif "", très à la mode, n'' est pas l'' apanage de certains députés. Il nous concerne tous constamment. Ayant",été élus,"comme représentants de la nation, comment pourrions - nous ne pas être constructifs ? Alors oui, nous serons au rendez -"
"PA719938,2017-07-03,Fesneau, Marc",payer de mots que de considérer votre action comme porteuse d'' une nouvelle ambition pour la France . La voix de la France,est attendue et écoutée,", et nous nous réjouissons qu'' elle soit celle de la tolérance, du dialogue, de l'' ouverture, de l'' idéal de liberté, de"
"PA609332,2017-07-03,Faure, Olivier","le temps nécessaire aux délibérations parlementaires, sollicitez la société civile, qui n'' est pas un sésame pour",être élu,"mais une source à laquelle puiser les solutions pour demain. Comme le disait Michel Rocard , ce qui est accepté a"
"PA609332,2017-07-03,Faure, Olivier","sésame pour être élu mais une source à laquelle puiser les solutions pour demain. Comme le disait Michel Rocard , ce qui",est accepté,a infiniment plus de force que ce qui est imposé. Tous les débats n'' ont pas été tranchés avec votre élection ; ils restent
"PA-104709,2017-07-03,Barbier, Gilbert","nécessaire au bon exercice de la démocratie. Pendant sa campagne, le Président de la République s'' est engagé, s'' il",était élu,", à introduire une dose de proportionnelle. On aurait souhaité savoir quel sera le calendrier de cette réforme. Le"
"PA-105779,2017-07-03,Adnot, Philippe","elle exigera des efforts de toutes les composantes de notre société. Ces efforts sont et seront nécessaires mais, pour",être compris,"et acceptés, ils devront être justes et efficaces. Il faudra donc éviter les contradictions et mettre fin à la frénésie"
"PA-105779,2017-07-03,Adnot, Philippe","elle exigera des efforts de toutes les composantes de notre société. Ces efforts sont et seront nécessaires mais, pour",être compris et acceptés,", ils devront être justes et efficaces. Il faudra donc éviter les contradictions et mettre fin à la frénésie normative"
"PA345619,2017-07-04,Philippe, Édouard",", la liberté de pratiquer un culte ou de n'' en suivre aucun. Le Gouvernement n'' acceptera pas que ce principe fondateur",soit attaqué,", remis en cause ou instrumentalisé. Il le fera respecter sans outrance, en se gardant de provoquer, mais avec une"
"PA345619,2017-07-04,Philippe, Édouard",", la liberté de pratiquer un culte ou de n'' en suivre aucun. Le Gouvernement n'' acceptera pas que ce principe fondateur","soit attaqué , remis","en cause ou instrumentalisé. Il le fera respecter sans outrance, en se gardant de provoquer, mais avec une fermeté qui"
"PA345619,2017-07-04,Philippe, Édouard","énergies marines, et pour capter toujours plus de marchandises grâce à ses grands ports. Une France conquérante, c''",est enfin une France écoutée,", respectée et désirée. Je l'' ai dit il y a quelques semaines : la France est de retour, et singulièrement en Europe . Nous"
"PA267241,2017-07-04,Demilly, Stéphane","élus politiques ont le devoir de savoir, de comprendre et de dire la vérité à leurs concitoyens, dans la mesure où ils ont",été élus,pour les représenter. La clef du redressement sera d'' abord un constat partagé. Pierre Mendès France le disait très
"PA722202,2017-07-04,Jumel, Sébastien",d'' organiser une conférence des territoires n'' a de sens que s'' il se débarrasse de l'' étau d'' austérité et s'' il,est accompagné,"dans chacun de nos territoires d'' un moratoire préservant nos services publics de proximité. De ce point de vue, nous"
"PA563,2017-07-04,Bompard, Jacques","du bien commun. Le réel aujourd''hui, c'' est la crise de l'' ensemble des organes constitutifs de notre société. L'' homme",est attaqué,"dans sa définition, la famille dans son intégrité, la société dans son unité, la nation dans son homogénéité et sa"
"PA605036,2017-07-05,Abad, Damien","des Français , nous, Les Républicains , voulons incarner une opposition libre et responsable. Libre, car nous avons",été élus,"sans avoir eu besoin de faire allégeance au Gouvernement . Responsable, car nous voterons les lois qui iront dans l''"
"PA605036,2017-07-05,Abad, Damien","des Français , nous, Les Républicains , voulons incarner une opposition libre et responsable. Libre, car nous avons",été élus sans avoir eu,"besoin de faire allégeance au Gouvernement . Responsable, car nous voterons les lois qui iront dans l'' intérêt de la"
"PA331481,2017-07-05,Le Maire, Bruno","ne devons nous bercer d'' illusions : non, tous les salariés ne seront pas gardés à La Souterraine , mais chaque salarié",sera accompagné,afin qu'' il puisse se reconvertir et retrouver un emploi. Les collectivités locales et la région se sont elles aussi
"PA906,2017-07-05,Collomb, Gérard",. J '' ai également eu à me rendre devant Notre-Dame de Paris afin de réconforter les policiers qui y avaient,été attaqués,". Nous avons par ailleurs été témoins, il y a deux semaines, d'' une tentative d'' attentat sur les Champs-Élysées qui, si"
",2017-07-05,","France ? Oui , monsieur le député, vous l'' avez dit, la rénovation du modèle social français est urgente – et cela",est compris,"par une grande partie de cette assemblée –, pour les raisons que vous avez évoquées. Dans la feuille de route de mon"
