"","Reference","Left","KWIC","Right"
"1","PA720746,2019-09-24,Waserman, Sylvain","très important de laisser tout le monde s'' exprimer. Toutefois, chaque minute des interventions des orateurs non","inscrits est prise","sur le temps des autres. C '' est pourquoi, je suis contraint de faire appliquer la règle très stricte qui limite votre"
"2","PA609332,2018-07-17,Faure, Olivier","députés auront été nommés par leur parti, d'' autres par leur président. Quel est l'' intérêt d'' un Parlement où tous ceux","qui seront élus","seront soumis ? C '' est la raison pour laquelle les amendements de François Ruffin ont toute leur pertinence. Je voterai"
"3","PA748954,2018-12-11,Savignat, Antoine","l'' écoute. S '' ils ont été écoutés, ils n'' ont pas été entendus. Surtout, comme Mme Untermaier l'' a souligné avant moi, si","nous sommes ravis que vous ayez écouté","le CNB et la Conférence des bâtonniers , il est en revanche dommage que vous n'' ayez pas écouté les députés de l''"
"4","PA720138,2020-06-02,Saint-Paul, Laetitia","débattions ensemble ultérieurement. Nous avons terminé les questions au Gouvernement . La séance est suspendue. La","séance est reprise",". En application des articles LO 176 et LO 179 du code électoral, le président a reçu une communication du ministre de l''"
"5","PA605991,2020-05-15,Genevard, Annie","seront prises pour plus tard. Si un délai expirant le 16 juin, ce n'' est pas une urgence... La séance est suspendue. La","séance est reprise",". Je suis saisie de quatre amendements identiques, n° 60, 250, 305 et 306. La parole est à M. Antoine Savignat , pour"
"6","PA342601,2019-02-18,Brindeau, Pascal","l'' année 2018. Même si ce bilan est provisoire, il est encourageant. Mais, à ce propos, monsieur le ministre, comme cela","a été rappelé","tout à l'' heure, la question qui nous est posée aujourd''hui est celle de la ratification du CETA , prévue pour l'' automne"
"7","PA2960,2018-06-05,Woerth, Éric","pour contacter la personne qui se porte caution et pour discuter avec elle. Aujourd''hui , si le délai de quinze jours n","'' est pas respecté",", la responsabilité du garant est annulée, à la fois pour les pénalités et pour les intérêts. Il semblerait donc logique"
"8","PA719830,2018-12-06,Démoulin, Nicolas","être salué. La majorité y est extrêmement attachée. Le rôle des plateformes doit être encadré et les appels frauduleux","doivent être bloqués et pénalisés",", mais nous devons aussi préserver nos emplois. C '' est le double objectif qu'' il faut viser à travers nos débats."
"9","PA720746,2017-10-25,Waserman, Sylvain","2050. Nous devons réviser notre modèle. Nous avons terminé les questions au Gouvernement . La séance est suspendue. La","séance est reprise",". L'' ordre du jour appelle la suite de la discussion du projet de loi de financement de la Sécurité sociale pour 2018 (n°"
"10","PA722038,2018-11-07,Adam, Damien","temps plein, dont huit instructeurs, ce qui est considérable au regard des sommes en jeu. Les territoires les plus","fragiles seront désormais accompagnés","par l'' État , par l'' intermédiaire de l'' Agence nationale de la cohésion des territoires , qui aura pour mission de"
"11","PA642847,2017-11-29,Bazin, Thibault","? Les programmes spécifiques de prévention sanitaire et sociale, particulièrement importants dans ces métiers",", seront - ils poursuivis","? Qu'' adviendra -t - il des réserves des régimes de retraite complémentaire des indépendants, qui s'' élèvent à 17"
"12","PA719882,2019-06-27,Meynier-Millefert, Marjolaine","peu la situation. Un parlementaire représente déjà tous les citoyens de sa circonscription : sa parole a un poids et ses","arguments seront donc écoutés",". En conséquence, il est intéressant que cette instance puisse être saisie d'' une manière automatique pour porter des"
"13","PA677483,2019-06-20,Mazars, Stéphane","de 41,3 millions d'' euros. Sur le plan de l'' éducation, un rectorat de plein exercice existera d'' ici à deux ans et 500","personnels seront recrutés","sur cinq ans. La liste de ces mesures n'' est bien évidemment pas exhaustive. À ce bilan quantitatif, on peut d'' ores et"
"14","PA720468,2019-03-26,Chenu, Sébastien",", que vous avez majoritairement soutenus, nous trouvons dans nos assiettes des aliments produits dans des conditions","qui seraient interdites","à nos agriculteurs car elles ne respectent pas les normes qui s'' appliquent chez nous. Les traités de libre-échange –"
"15","PA332747,2019-01-24,de Rugy, François","'' amendement n° 272. Il s'' agit de remplacer l'' article d'' habilitation par des mesures qui, si cet amendement est adopté",", seront directement inscrites","dans le projet de loi. Ces dispositions ont pour objet de faciliter l'' exercice de la police administrative. Quel est l''"
"16","PA608695,2018-07-13,Untermaier, Cécile","Vous êtes en effet confrontés à une obligation de compromis et le Sénat vous attend : il ne souhaite évidemment pas que le","texte soit trop engagé",". J'' aborde cette question avec beaucoup d'' humilité. J '' ai écouté les intellectuels, les constitutionnalistes et les"
