"corpus","preloaded/ske_parlamint21_fr"
"subcorpus","-"
"concordance size","1193"
"query","Query:[lemma=""se""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""je""] []{0,3} [lemma=""me""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""tu""] []{0,3} [lemma=""te""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""vous""] [tag!=""Fc""]{0,3} [lemma=""vous""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""nous""] [tag!=""Fc""]{0,3} [lemma=""nous""] [lemma=""faire""] []{0,3} [tag=""V.N.*""]"
"Reference","Left","KWIC","Right"
"PA267241,2017-07-04",", abandonnée par les services publics, par les opérateurs du téléphone et de l'' internet ; une ruralité qui ne peut","se faire entendre","qu'' en manifestant démocratiquement dans l'' extrême. Très bien ! Écoutons ce coup de colère et n'' oublions pas, comme le"
"PA721210,2017-07-06","'' il l'' accepte ? Qui, parmi les 577 députés, accepterait de se voir imposer sans argument motivé, sans la possibilité de","se faire entendre","de manière contradictoire, une réduction de sa liberté de circulation ? Personne. L'' absence de motivation se"
"PA720952,2017-07-10","représentatives du personnel reviendrait donc également à regrouper les forces pour qu'' une voix plus forte","se fasse entendre","lors des négociations. Cette fusion est déjà possible pour les entreprises de moins de 300 salariés : nous choisissons"
"PA722126,2017-07-10","de la réussite de l'' entreprise. Les changements que permettra votre réforme, madame la ministre, mettront du temps à","se faire sentir",". Or l'' engagement que nous avons pris auprès des Français , c'' est d'' agir vite ; c'' est pourquoi nous souhaitons"
"PA720500,2017-07-10","sur la situation économique et sociale de l'' entreprise et leur donne les moyens de parler d'' une seule voix pour","se faire mieux entendre","; deuxièmement parce que, en octroyant à cette instance fusionnée la possibilité de négocier des conventions et des"
"PA722202,2017-07-10","au contrat de sécurisation professionnelle qui permet une meilleure indemnisation du chômage. Ça compte, quand on","se fait licencier",", d'' être justement et légitimement indemnisé ! Qu'' en sera -t - il demain ? Sous prétexte d'' harmonisation et de"
"PA719930,2017-07-11","que nous sommes attachés à l'' expression des organisations syndicales, je trouve dommage que leur voix n'' ait pas pu","se faire entendre","avant l'' examen du projet de loi par l'' Assemblée nationale . Ma première question sera simple : pouvez - vous nous"
"PA2150,2017-07-11","ne peut plus coller d'' affiches. Des gens comme moi doivent monter sur une caisse à savon et utiliser un porte-voix pour","se faire entendre","dans la rue. Ou des hologrammes ! Ne poussons pas à raréfier ces espaces. Vous savez comme moi qu'' une collectivité"
"PA717379,2017-07-12",", hésiter à se lancer ... Dans quelle mesure va -t - il, ou l'' employeur d'' ailleurs, se sentir frustré, ou craindre de","se faire avoir","? Les deux parties ont donc besoin d'' un référentiel, d'' autant que souvent les avocats vont chercher à faire monter les"
"PA719578,2017-07-12","vous aurez créé dans les entreprises en modifiant les dispositions en vigueur avant leur départ, ils auront envie de","se faire entendre",". Un mouvement social d'' ampleur, dès septembre, pourrait faire tanguer votre majorité. Pour vous paraphraser : plus"
