Name,Reference,Left,KWIC,Right,variant,potential_passive,verb_transitivity,complement,lemma
"PA722202,Jumel, Sébastien","PA722202,2017-07-10","au contrat de sécurisation professionnelle qui permet une meilleure indemnisation du chômage. Ça compte, quand on",se fait licencier,", d'' être justement et légitimement indemnisé ! Qu'' en sera -t - il demain ? Sous prétexte d'' harmonisation et de",se faire,1,transitive,0,licencier
"PA717379,Maillard, Sylvain","PA717379,2017-07-12",", hésiter à se lancer ... Dans quelle mesure va -t - il, ou l'' employeur d'' ailleurs, se sentir frustré, ou craindre de",se faire avoir,"? Les deux parties ont donc besoin d'' un référentiel, d'' autant que souvent les avocats vont chercher à faire monter les",se faire,1,transitive,0,avoir
"PA335612,Lecoq, Jean-Paul","PA335612,2017-07-12","liberté que vous aimez – cet espace libéral, comme on dit chez nous –, il faut encadrer les choses, de manière à ne pas",se faire manger,". Or , avec ce dispositif, vous offrez l'' économie et, à travers elle, les entreprises et les travailleurs, à l'' appétit",se faire,1,transitive,0,manger
"PA607846,Darmanin, Gérald","PA607846,2017-07-13",". Bravo ! La parole est à M. le ministre. Il était un temps où, quand on siégeait sur ces bancs, c'' était une honte de",se faire applaudir,"par le Front national . C '' est votre seul argument de réponse ? Non ! Je vais vous répondre, ne vous inquiétez pas. Mais il",se faire,1,transitive,par,applaudir
"PA2150,Mélenchon, Jean-Luc","PA2150,2017-07-13","dire. D'' ailleurs, personne ne travaille 35 heures dans ce pays : la moyenne s'' élève à 39 heures. Les gens sont en train de",se faire piéger,", puisque auparavant les heures supplémentaires étaient majorées de 25 % et exceptionnellement de 10 % : or,",se faire,1,transitive,0,piéger
"PA720692,Roussel, Fabien","PA720692,2017-07-24","élisent se creuse au fil des ans à cause des reniements successifs, des promesses non tenues, voire des mensonges pour",se faire élire,". À chaque élection, on entend les plus grandes promesses concernant l'' emploi, le pouvoir d'' achat et pour une vie",se faire,1,transitive,0,élire
"PA606098,Marleix, Olivier","PA606098,2017-07-25","d'' État parte dans un cabinet d'' avocats où il va continuer à travailler pour l'' État et à en défendre les intérêts, mais en",se faisant payer,jusqu'' à dix fois plus ? Est - il normal qu'' un inspecteur des finances puisse partir travailler pour une grande banque d'',se faire,1,transitive,0,payer
"PA1838,Lassalle, Jean","PA1838,2017-07-25","est favorable au loup ou aux bergers. Je ne serais donc pas surpris que, depuis quelques décennies, certains lobbies",se fassent plus entendre,que d'' autres. Les seuls lobbies auxquels je serais assez ouvert seraient ceux dont l'' action tendrait vers une,se faire,1,transitive,0,etendre
"PA606098,Marleix, Olivier","PA606098,2017-07-25",l'' on a œuvré pour le compte de la collectivité publique. Nous avons tous en tête l'' exemple d'' un directeur du Trésor qui,se fait débaucher,"par un fonds d'' investissement ; c'' est ce genre de dossiers qu'' il faut empêcher, ou du moins réglementer à l'' avenir.",se faire,1,transitive,par,débaucher
"PA1198,Dumont, Laurence","PA1198,2017-07-26","avoir démissionné de sa mairie début juin, il s'' est faire réélire député le 18 juin et s'' est empressé, ces jours-ci, de",se faire réélire,"maire. Par cette manipulation – il n'' est pas d'' autres mots –, il a pu faire monter sa suppléante sans passer par la case """,se faire,1,transitive,0,réélire
